
=== PC-GF-01 (source: PC-GF-01(R)) ===
  A4     T8   need=7   len=5050    found=6   unclaimed_raw=0   DEAD END (zero evidence)
  K      T16  need=1   len=6000    found=0   unclaimed_raw=1   POSSIBLE BUG (unclaimed_raw=1 vs found=0/1)
  K1     T16  need=1   len=6000    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  K2     T16  need=1   len=6000    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  K3     T16  need=1   len=6000    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  K4     T16  need=1   len=6000    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  K5     T16  need=1   len=6000    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  L      T20  need=1   len=6100    found=0   unclaimed_raw=0   DEAD END (zero evidence)

=== PW-GF-25 (source: PW-GF-25(R)) ===
  B      T8   need=14  len=900     found=6   unclaimed_raw=0   DEAD END (zero evidence)
  B1     T8   need=29  len=900     found=0   unclaimed_raw=0   DEAD END (zero evidence)
  B2     T8   need=26  len=950     found=0   unclaimed_raw=0   DEAD END (zero evidence)
  C      T8   need=7   len=975     found=1   unclaimed_raw=1   DEAD END (evidence already fully used)
  F      T10  need=2   len=1050    found=1   unclaimed_raw=1   DEAD END (evidence already fully used)
  D      T8   need=37  len=1200    found=36  unclaimed_raw=7   DEAD END (evidence already fully used)
  A2     T8   need=30  len=1450    found=15  unclaimed_raw=0   DEAD END (zero evidence)
  H1     T16  need=2   len=1850    found=1   unclaimed_raw=0   DEAD END (zero evidence)
  H3     T16  need=2   len=2900    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  J2     T16  need=1   len=5000    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  J3     T16  need=1   len=5000    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  J4     T16  need=1   len=5000    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  J5     T16  need=1   len=5000    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  K      T20  need=2   len=6100    found=1   unclaimed_raw=0   DEAD END (zero evidence)

=== PW-GF-26 (source: PW-GF-26(R)) ===
  B1     T8   need=59  len=900     found=11  unclaimed_raw=0   DEAD END (zero evidence)
  B2     T8   need=52  len=950     found=3   unclaimed_raw=0   DEAD END (zero evidence)
  C1     T8   need=2   len=950     found=0   unclaimed_raw=0   DEAD END (zero evidence)
  A      T8   need=30  len=1575    found=4   unclaimed_raw=50  POSSIBLE BUG (unclaimed_raw=50 vs found=4/30)
  A1     T8   need=30  len=1650    found=2   unclaimed_raw=1   DEAD END (evidence already fully used)
  E      T16  need=4   len=3075    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  A2     T8   need=10  len=5000    found=9   unclaimed_raw=20  POSSIBLE BUG (unclaimed_raw=20 vs found=9/10)
  A3     T8   need=9   len=5050    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  G      T20  need=2   len=6100    found=0   unclaimed_raw=1   POSSIBLE BUG (unclaimed_raw=1 vs found=0/2)
  G      T20  need=2   len=6100    found=0   unclaimed_raw=0   DEAD END (zero evidence)

=== PW-GF-05 (source: PW-GF-05(R1)) ===
  D1     T8   need=38  len=1200    found=5   unclaimed_raw=0   DEAD END (zero evidence)
  A3     T8   need=30  len=1425    found=19  unclaimed_raw=0   DEAD END (zero evidence)
  D2     T8   need=33  len=1600    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  J      T25  need=3   len=1850    found=1   unclaimed_raw=2   POSSIBLE BUG (unclaimed_raw=2 vs found=1/3)
  H3     T16  need=2   len=2125    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  F      T10  need=10  len=4375    found=5   unclaimed_raw=5   DEAD END (evidence already fully used)
  L2     T16  need=1   len=4375    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  L3     T16  need=1   len=4375    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  L4     T16  need=2   len=4375    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  K3     T16  need=2   len=5000    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  K4     T16  need=4   len=5000    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  F2     T10  need=6   len=5050    found=0   unclaimed_raw=0   DEAD END (zero evidence)

=== PW-GF-08 (source: PW-GF-08(R1)) ===
  B      T8   need=52  len=875     found=14  unclaimed_raw=1   DEAD END (evidence already fully used)
  B1     T8   need=22  len=900     found=1   unclaimed_raw=0   DEAD END (zero evidence)
  B2     T8   need=59  len=900     found=0   unclaimed_raw=0   DEAD END (zero evidence)
  D      T8   need=24  len=1200    found=18  unclaimed_raw=11  DEAD END (evidence already fully used)
  C      T8   need=11  len=1225    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  K      T20  need=3   len=2025    found=2   unclaimed_raw=4   POSSIBLE BUG (unclaimed_raw=4 vs found=2/3)
  F1     T12  need=3   len=2100    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  O      T10  need=11  len=2250    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  L1     T20  need=2   len=2275    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  H      T16  need=6   len=2375    found=0   unclaimed_raw=2   POSSIBLE BUG (unclaimed_raw=2 vs found=0/6)
  I2     T16  need=4   len=3525    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  A2     T8   need=12  len=5000    found=6   unclaimed_raw=19  POSSIBLE BUG (unclaimed_raw=19 vs found=6/12)
  H1     T16  need=4   len=5000    found=1   unclaimed_raw=1   DEAD END (evidence already fully used)
  A3     T8   need=11  len=5050    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  N      T20  need=1   len=6100    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  N1     T20  need=1   len=6100    found=0   unclaimed_raw=0   DEAD END (zero evidence)

=== PW-GF-09-combo (source: PW-GF-09(R1)) ===
  B2     T8   need=49  len=950     found=13  unclaimed_raw=1   DEAD END (evidence already fully used)
  C      T8   need=6   len=950     found=0   unclaimed_raw=0   DEAD END (zero evidence)
  H      T12  need=11  len=1150    found=8   unclaimed_raw=0   DEAD END (zero evidence)
  L      T20  need=2   len=2025    found=1   unclaimed_raw=2   POSSIBLE BUG (unclaimed_raw=2 vs found=1/2)
  K      T16  need=4   len=2050    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  P      T10  need=7   len=2250    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  M1     T20  need=2   len=2275    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  N      T25  need=2   len=2575    found=0   unclaimed_raw=0   DEAD END (zero evidence)
  A3     T8   need=9   len=5000    found=4   unclaimed_raw=14  POSSIBLE BUG (unclaimed_raw=14 vs found=4/9)
  I      T16  need=2   len=5000    found=0   unclaimed_raw=1   POSSIBLE BUG (unclaimed_raw=1 vs found=0/2)
  A4     T8   need=7   len=5050    found=0   unclaimed_raw=0   DEAD END (zero evidence)
