family_id,insert_id,block_name,base_part_id,variant_name,length,width,height,rotation,insert_x,insert_y,bbox,geometry_signature
F1,20,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,167692.047598301,-769.4916528945159,"[95178.19353693517, 7100.47462280891, 95403.94519057154, 7259.791320630173]","[557.6, 225.8, 159.3, 0.0]"
F1,21,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,167859.0832706036,-812.2411891664343,"[95345.22920923776, 7057.7250865369915, 95570.98086287413, 7217.0417843582545]","[557.6, 225.8, 159.3, 0.0]"
F1,22,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,168026.1189429063,-854.9907254383482,"[95512.26488154047, 7014.975550265078, 95738.01653517684, 7174.292248086341]","[557.6, 225.8, 159.3, 0.0]"
F1,23,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,168193.154615209,-897.7402617102665,"[95679.30055384318, 6972.2260139931595, 95905.05220747954, 7131.542711814423]","[557.6, 225.8, 159.3, 0.0]"
F1,24,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,168360.1902875117,-940.4897979821848,"[95846.33622614588, 6929.476477721241, 96072.08787978225, 7088.793175542504]","[557.6, 225.8, 159.3, 0.0]"
F1,25,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,168527.2259598143,-983.2393342540987,"[96013.37189844847, 6886.726941449327, 96239.12355208484, 7046.04363927059]","[557.6, 225.8, 159.3, 0.0]"
F23,26,Rebar Bar - Part 1871424790-V4-3D Ortho,1871424790,V4-3D Ortho,557.66,225.75,159.37,0.0,164685.4054968528,0.0,"[96180.40757075122, 6843.977405177413, 96406.15922438761, 7003.34628226013]","[557.7, 225.8, 159.4, 0.0]"
F1,27,Rebar Bar - Part 1871424790-V1-3D Ortho,1871424790,V1-3D Ortho,557.57,225.75,159.32,0.0,168861.2973044197,-1068.738406797935,"[96347.44324305389, 6801.227868905491, 96573.19489669026, 6960.544566726754]","[557.6, 225.8, 159.3, 0.0]"
F32,28,Rebar Bar - Part 2352736704-431004-3D Ortho,2352736704,431004-3D Ortho,169.2,61.0,76.54,0.0,164685.4054968528,0.0,"[94858.44792650708, 7844.322759336607, 94919.45060576592, 7920.861396845669]","[169.2, 61.0, 76.5, 0.0]"
F34,29,Rebar Bar - Part 3575411732-431004-3D Ortho,3575411732,431004-3D Ortho,25.18,14.77,19.21,0.0,164685.4054968528,0.0,"[94859.58966163409, 7931.722591465009, 94874.3603280676, 7950.936168034803]","[25.2, 14.8, 19.2, 0.0]"
F12,30,Rebar Bar - Part 1070054846-431004-3D Ortho,1070054846,431004-3D Ortho,81.67,44.43,19.12,0.0,164685.4054968528,0.0,"[94874.3603280676, 7931.815016728624, 94918.790137104, 7950.93616803482]","[81.7, 44.4, 19.1, 0.0]"
F31,31,Rebar Bar - Part 2227165887-431004-3D Ortho,2227165887,431004-3D Ortho,59.86,22.08,26.39,0.0,164685.4054968528,0.0,"[94916.80662276379, 7913.17416502432, 94938.88676802482, 7939.565221297682]","[59.9, 22.1, 26.4, 0.0]"
F38,32,Rebar Bar - Part 360578841-431004-3D Ortho,360578841,431004-3D Ortho,352.97,8.0,183.54,0.0,164685.4054968528,0.0,"[94930.88676802482, 7729.631876322325, 94938.88676802484, 7913.174165024318]","[353.0, 8.0, 183.5, 0.0]"
F36,33,Rebar Bar - Part 360578841-V5-3D Ortho,360578841,V5-3D Ortho,154.68,0.0,183.54,0.0,164685.4054968528,0.0,"[94856.12351120626, 7746.872978199206, 94856.12351120626, 7930.415266901196]","[154.7, 0.0, 183.5, 0.0]"
F35,34,Rebar Bar - Part 3575411732-V6-3D Ortho,3575411732,V6-3D Ortho,65.44,30.81,18.04,0.0,164685.4054968528,0.0,"[94853.67463945133, 7930.415266901197, 94884.48148066411, 7948.459967713609]","[65.4, 30.8, 18.0, 0.0]"
F46,35,Rebar Bar - Part 766981352-431004-3D Ortho,766981352,431004-3D Ortho,170.71,61.35,77.28,0.0,164685.4054968528,0.0,"[94878.10894812756, 7860.918440569557, 94939.46056436293, 7938.196233261778]","[170.7, 61.4, 77.3, 0.0]"
F33,36,Rebar Bar - Part 3575411732-V7-3D Ortho,3575411732,V7-3D Ortho,11.58,11.56,0.61,0.0,164685.4054968528,0.0,"[94762.23053905935, 7880.72336003601, 94773.79196796074, 7881.33535727989]","[11.6, 11.6, 0.6, 0.0]"
F11,37,Rebar Bar - Part 1070054846-V8-3D Ortho,1070054846,V8-3D Ortho,45.86,44.43,11.37,0.0,164685.4054968528,0.0,"[94773.79196796074, 7869.96441054276, 94818.22177699716, 7881.335357279901]","[45.9, 44.4, 11.4, 0.0]"
F30,38,Rebar Bar - Part 2227165887-V9-3D Ortho,2227165887,V9-3D Ortho,30.67,20.1,26.39,0.0,164685.4054968528,0.0,"[94818.22177699716, 7843.573354269404, 94838.31840791798, 7869.964410542763]","[30.7, 20.1, 26.4, 0.0]"
F37,39,Rebar Bar - Part 360578841-V10-3D Ortho,360578841,V10-3D Ortho,182.53,0.0,183.54,0.0,164685.4054968528,0.0,"[94838.31840791799, 7660.031065567403, 94838.31840791799, 7843.573354269396]","[182.5, 0.0, 183.5, 0.0]"
F45,40,Rebar Bar - Part 766981352-V11-3D Ortho,766981352,V11-3D Ortho,26.09,7.45,14.65,0.0,164685.4054968528,0.0,"[94831.44315819796, 7791.317629814635, 94838.89220425609, 7805.969027617484]","[26.1, 7.4, 14.7, 0.0]"
F9,41,Rebar Bar - Part 3660531219-431004-3D Ortho,3660531219,431004-3D Ortho,1528.21,16.0,748.92,0.0,164685.4054968528,0.0,"[94577.49156575935, 7751.364245991389, 94593.49156575937, 8500.284529275032]","[1528.2, 16.0, 748.9, 0.0]"
F39,42,Rebar Bar - Part 3635738315-431004-3D Ortho,3635738315,431004-3D Ortho,1528.21,16.0,748.92,0.0,164685.4054968528,0.0,"[94444.9976585003, 7659.668573957792, 94460.99765850032, 8408.588857241422]","[1528.2, 16.0, 748.9, 0.0]"
F9,43,Rebar Bar - Part 3660531219-431004-3D Ortho,3660531219,431004-3D Ortho,1528.21,16.0,748.92,0.0,165204.9894468883,359.5908707200016,"[95097.07551579479, 8110.955116711399, 95113.0755157948, 8859.875399995042]","[1528.2, 16.0, 748.9, 0.0]"
F40,44,Rebar Bar - Part 3635738315-V12-3D Ortho,3635738315,V12-3D Ortho,1807.11,16.0,975.7,0.0,164685.4054968528,0.0,"[94837.28354077705, 7704.378269650311, 94853.28354077706, 8680.079964635032]","[1807.1, 16.0, 975.7, 0.0]"
F9,45,Rebar Bar - Part 3660531219-431004-3D Ortho,3660531219,431004-3D Ortho,1528.21,16.0,748.92,0.0,165337.4833541473,451.2865427535988,"[95229.56942305378, 8202.650788744995, 95245.56942305379, 8951.571072028639]","[1528.2, 16.0, 748.9, 0.0]"
F9,46,Rebar Bar - Part 3660531219-V13-3D Ortho,3660531219,V13-3D Ortho,1528.21,16.0,748.92,0.0,164685.4054968528,0.0,"[95343.89364664679, 8281.771683652154, 95359.8936466468, 9030.691966935798]","[1528.2, 16.0, 748.9, 0.0]"
F2,47,Rebar Bar - Part 3681399347-431004-3D Ortho,3681399347,431004-3D Ortho,1513.69,16.0,741.66,0.0,164685.4054968528,0.0,"[92720.12436650723, 8000.027841239631, 92736.12436650723, 8741.686588253331]","[1513.7, 16.0, 741.7, 0.0]"
F5,48,Rebar Bar - Part 878712912-431004-3D Ortho,878712912,431004-3D Ortho,14.39,16.82,7.2,0.0,164685.4054968528,0.0,"[92720.12436650721, 7992.832769666304, 92736.94431423546, 8000.027841239636]","[14.4, 16.8, 7.2, 0.0]"
F41,49,Rebar Bar - Part 3660531219-V14-3D Ortho,3660531219,V14-3D Ortho,1509.74,16.0,745.63,0.0,164685.4054968528,0.0,"[94330.70494407773, 7580.569485748129, 94346.70494407775, 8326.200403127696]","[1509.7, 16.0, 745.6, 0.0]"
F42,50,Rebar Bar - Part 4101040190-431004-3D Ortho,4101040190,431004-3D Ortho,197.43,122.13,83.67,0.0,164685.4054968528,0.0,"[94783.48474476954, 7874.776675433905, 94905.61132820975, 7958.445817840814]","[197.4, 122.1, 83.7, 0.0]"
F43,51,Rebar Bar - Part 4101040190-V16-3D Ortho,4101040190,V16-3D Ortho,269.13,124.44,90.64,0.0,164685.4054968528,0.0,"[94827.18306230614, 7856.028298320715, 94951.61889273889, 7946.671075227407]","[269.1, 124.4, 90.6, 0.0]"
F7,52,Rebar Bar - Part 1871424790-V17-3D Ortho,1871424790,V17-3D Ortho,424.16,194.24,133.56,0.0,164685.4054968528,0.0,"[93318.70834723061, 8825.839114446213, 93512.94873403397, 8959.395929017985]","[424.2, 194.2, 133.6, 0.0]"
F20,53,Rebar Bar - Part 1871424790-V18-3D Ortho,1871424790,V18-3D Ortho,433.95,183.55,129.66,0.0,164685.4054968528,0.0,"[93485.74401953329, 8783.089578174297, 93669.293299822, 8912.745898768315]","[434.0, 183.5, 129.7, 0.0]"
F6,54,Rebar Bar - Part 1871424790-V19-3D Ortho,1871424790,V19-3D Ortho,424.11,194.24,133.56,0.0,164685.4054968528,0.0,"[93652.77969183597, 8740.340041902378, 93847.02007863931, 8873.89685647415]","[424.1, 194.2, 133.6, 0.0]"
F4,55,Rebar Bar - Part 1871424790-V20-3D Ortho,1871424790,V20-3D Ortho,462.99,194.24,133.56,0.0,164685.4054968528,0.0,"[93819.81536413863, 8697.590505630465, 94014.05575094197, 8831.147320202233]","[463.0, 194.2, 133.6, 0.0]"
F7,56,Rebar Bar - Part 1871424790-V21-3D Ortho,1871424790,V21-3D Ortho,424.17,194.24,133.56,0.0,164685.4054968528,0.0,"[93986.85103644131, 8654.840969358547, 94181.09142324465, 8788.397783930317]","[424.2, 194.2, 133.6, 0.0]"
F4,57,Rebar Bar - Part 1871424790-V20-3D Ortho,1871424790,V20-3D Ortho,462.99,194.24,133.56,0.0,165019.4768414582,-85.49907254384736,"[94153.88670874397, 8612.091433086627, 94348.12709554732, 8745.648247658395]","[463.0, 194.2, 133.6, 0.0]"
F6,58,Rebar Bar - Part 1871424790-V22-3D Ortho,1871424790,V22-3D Ortho,424.12,194.24,133.56,0.0,164685.4054968528,0.0,"[94320.92238104666, 8569.341896814713, 94515.16276785001, 8702.898711386486]","[424.1, 194.2, 133.6, 0.0]"
F4,59,Rebar Bar - Part 1871424790-V20-3D Ortho,1871424790,V20-3D Ortho,462.99,194.24,133.56,0.0,165353.5481860635,-170.9981450876796,"[94487.95805334927, 8526.592360542794, 94682.19844015261, 8660.149175114562]","[463.0, 194.2, 133.6, 0.0]"
F18,60,Rebar Bar - Part 1871424790-V23-3D Ortho,1871424790,V23-3D Ortho,430.9,182.29,128.79,0.0,164685.4054968528,0.0,"[94654.99372565202, 8483.842824270876, 94837.28561369832, 8612.628935592174]","[430.9, 182.3, 128.8, 0.0]"
F16,61,Rebar Bar - Part 1871424790-V24-3D Ortho,1871424790,V24-3D Ortho,424.25,194.24,133.56,0.0,164685.4054968528,0.0,"[94822.02939795468, 8441.093287998961, 95016.26978475801, 8574.650102570733]","[424.3, 194.2, 133.6, 0.0]"
F17,62,Rebar Bar - Part 1871424790-V25-3D Ortho,1871424790,V25-3D Ortho,424.93,194.24,133.56,0.0,164685.4054968528,0.0,"[94989.06507025736, 8398.34375172704, 95183.3054570607, 8531.900566298818]","[424.9, 194.2, 133.6, 0.0]"
F14,63,Rebar Bar - Part 1871424790-V26-3D Ortho,1871424790,V26-3D Ortho,406.07,187.86,132.64,0.0,164685.4054968528,0.0,"[95156.10074256003, 8355.59421545513, 95343.9565804849, 8488.230995337963]","[406.1, 187.9, 132.6, 0.0]"
F6,64,Rebar Bar - Part 1871424790-V27-3D Ortho,1871424790,V27-3D Ortho,424.11,194.24,133.56,0.0,164685.4054968528,0.0,"[95323.1364148627, 8312.844679183212, 95517.37680166605, 8446.401493754984]","[424.1, 194.2, 133.6, 0.0]"
F4,65,Rebar Bar - Part 1871424790-V20-3D Ortho,1871424790,V20-3D Ortho,462.99,194.24,133.56,0.0,166355.7622198796,-427.4953627191805,"[95490.17208716537, 8270.095142911294, 95684.41247396871, 8403.651957483062]","[463.0, 194.2, 133.6, 0.0]"
F6,66,Rebar Bar - Part 1871424790-V28-3D Ortho,1871424790,V28-3D Ortho,424.14,194.24,133.56,0.0,164685.4054968528,0.0,"[95657.20775946804, 8227.345606639374, 95851.44814627139, 8360.90242121115]","[424.1, 194.2, 133.6, 0.0]"
F4,67,Rebar Bar - Part 1871424790-V20-3D Ortho,1871424790,V20-3D Ortho,462.99,194.24,133.56,0.0,166689.8335644849,-512.9944352630127,"[95824.24343177066, 8184.596070367462, 96018.48381857401, 8318.15288493923]","[463.0, 194.2, 133.6, 0.0]"
F7,68,Rebar Bar - Part 1871424790-V29-3D Ortho,1871424790,V29-3D Ortho,424.2,194.24,133.56,0.0,164685.4054968528,0.0,"[95991.27910407342, 8141.846534095542, 96185.51949087674, 8275.403348667316]","[424.2, 194.2, 133.6, 0.0]"
F21,69,Rebar Bar - Part 1871424790-V30-3D Ortho,1871424790,V30-3D Ortho,462.43,193.78,133.56,0.0,164685.4054968528,0.0,"[96158.77371698713, 8099.096997823621, 96352.55516317942, 8232.653812395396]","[462.4, 193.8, 133.6, 0.0]"
F4,70,Rebar Bar - Part 1871424790-V20-3D Ortho,1871424790,V20-3D Ortho,462.99,194.24,133.56,0.0,167190.9405813929,-641.2430440787632,"[96325.35044867867, 8056.347461551712, 96519.59083548201, 8189.90427612348]","[463.0, 194.2, 133.6, 0.0]"
F6,71,Rebar Bar - Part 1871424790-V31-3D Ortho,1871424790,V31-3D Ortho,424.15,194.24,133.56,0.0,164685.4054968528,0.0,"[96492.38612098143, 8013.597925279796, 96686.62650778476, 8147.154739851564]","[424.1, 194.2, 133.6, 0.0]"
F4,72,Rebar Bar - Part 1871424790-V20-3D Ortho,1871424790,V20-3D Ortho,462.99,194.24,133.56,0.0,167525.0119259983,-726.7421166225997,"[96659.42179328405, 7970.848389007875, 96853.6621800874, 8104.405203579643]","[463.0, 194.2, 133.6, 0.0]"
F7,73,Rebar Bar - Part 1871424790-V32-3D Ortho,1871424790,V32-3D Ortho,424.22,194.24,133.56,0.0,164685.4054968528,0.0,"[96826.45746558679, 7928.098852735962, 97020.69785239012, 8061.655667307729]","[424.2, 194.2, 133.6, 0.0]"
F19,74,Rebar Bar - Part 1871424790-V33-3D Ortho,1871424790,V33-3D Ortho,432.07,194.24,130.93,0.0,164685.4054968528,0.0,"[96993.49313788945, 7887.975836552208, 97187.73352469278, 8018.906131035813]","[432.1, 194.2, 130.9, 0.0]"
F4,75,Rebar Bar - Part 1871424790-V20-3D Ortho,1871424790,V20-3D Ortho,462.99,194.24,133.56,0.0,168026.1189429063,-854.9907254383457,"[97160.52881019206, 7842.5997801921285, 97354.7691969954, 7976.1565947638965]","[463.0, 194.2, 133.6, 0.0]"
F6,76,Rebar Bar - Part 1871424790-V34-3D Ortho,1871424790,V34-3D Ortho,424.12,194.24,133.56,0.0,164685.4054968528,0.0,"[97327.5644824948, 7799.850243920209, 97521.80486929814, 7933.407058491979]","[424.1, 194.2, 133.6, 0.0]"
F13,77,Rebar Bar - Part 1871424790-V35-3D Ortho,1871424790,V35-3D Ortho,404.8,194.24,130.93,0.0,164685.4054968528,0.0,"[97494.60015479747, 7759.727227736464, 97688.8405416008, 7890.657522220063]","[404.8, 194.2, 130.9, 0.0]"
F15,78,Rebar Bar - Part 1871424790-V36-3D Ortho,1871424790,V36-3D Ortho,419.12,171.07,124.62,0.0,164685.4054968528,0.0,"[97684.80523633106, 7723.283627874187, 97855.87621390348, 7847.907985948146]","[419.1, 171.1, 124.6, 0.0]"
F8,79,Rebar Bar - Part 1871424790-V37-3D Ortho,1871424790,V37-3D Ortho,682.48,332.41,90.32,0.0,164685.4054968528,0.0,"[92803.29885723787, 8768.673864456525, 93135.70825730478, 8858.99239835225]","[682.5, 332.4, 90.3, 0.0]"
F8,80,Rebar Bar - Part 1871424790-V37-3D Ortho,1871424790,V37-3D Ortho,682.48,332.41,90.32,0.0,164584.3752843459,-69.92044708445673,"[92702.26864473098, 8698.753417372069, 93034.6780447979, 8789.071951267793]","[682.5, 332.4, 90.3, 0.0]"
F28,81,Rebar Bar - Part 1871424790-V38-3D Ortho,1871424790,V38-3D Ortho,649.51,332.41,90.32,0.0,164685.4054968528,0.0,"[92601.2384322241, 8628.832970287636, 92933.64783229101, 8719.151504183359]","[649.5, 332.4, 90.3, 0.0]"
F29,82,Rebar Bar - Part 1871424790-V39-3D Ortho,1871424790,V39-3D Ortho,649.6,332.41,90.32,0.0,164685.4054968528,0.0,"[92500.2082197172, 8558.91252320319, 92832.61761978413, 8649.231057098912]","[649.6, 332.4, 90.3, 0.0]"
F26,83,Rebar Bar - Part 1871424790-V40-3D Ortho,1871424790,V40-3D Ortho,646.31,313.06,88.38,0.0,164685.4054968528,0.0,"[92407.0615783135, 8489.695938221941, 92720.12643942847, 8578.075741964238]","[646.3, 313.1, 88.4, 0.0]"
F10,84,Rebar Bar - Part 1871424790-V41-3D Ortho,1871424790,V41-3D Ortho,649.93,332.41,90.32,0.0,164685.4054968528,0.0,"[92298.14779470346, 8419.071629034295, 92630.55719477037, 8509.39016293002]","[649.9, 332.4, 90.3, 0.0]"
F10,85,Rebar Bar - Part 1871424790-V42-3D Ortho,1871424790,V42-3D Ortho,649.93,332.41,90.32,0.0,164685.4054968528,0.0,"[92197.11758219657, 8349.151181949848, 92529.52698226349, 8439.469715845573]","[649.9, 332.4, 90.3, 0.0]"
F27,86,Rebar Bar - Part 1871424790-V43-3D Ortho,1871424790,V43-3D Ortho,649.13,331.96,90.32,0.0,164685.4054968528,0.0,"[92096.08736968967, 8279.230734865405, 92428.05039049986, 8369.549268761128]","[649.1, 332.0, 90.3, 0.0]"
F8,87,Rebar Bar - Part 1871424790-V37-3D Ortho,1871424790,V37-3D Ortho,682.48,332.41,90.32,0.0,163877.1637967977,-559.3635766755758,"[91995.05715718276, 8209.310287780949, 92327.46655724967, 8299.628821676673]","[682.5, 332.4, 90.3, 0.0]"
F8,88,Rebar Bar - Part 1871424790-V37-3D Ortho,1871424790,V37-3D Ortho,682.48,332.41,90.32,0.0,163776.1335842909,-629.2840237600238,"[91894.02694467596, 8139.389840696501, 92226.43634474288, 8229.708374592226]","[682.5, 332.4, 90.3, 0.0]"
F2,89,Rebar Bar - Part 3681399347-V44-3D Ortho,3681399347,V44-3D Ortho,1513.69,16.0,741.66,0.0,164685.4054968528,0.0,"[92391.1728957572, 8084.216581504915, 92407.1728957572, 8825.875328518614]","[1513.7, 16.0, 741.7, 0.0]"
F5,90,Rebar Bar - Part 878712912-431004-3D Ortho,878712912,431004-3D Ortho,14.39,16.82,7.2,0.0,164356.4540261028,84.18874026528549,"[92391.1728957572, 8077.021509931589, 92407.99284348545, 8084.216581504921]","[14.4, 16.8, 7.2, 0.0]"
F2,91,Rebar Bar - Part 3681399347-V44-3D Ortho,3681399347,V44-3D Ortho,1513.69,16.0,741.66,0.0,165441.5666698761,-193.5247665839981,"[93147.33406878043, 7890.691814920926, 93163.33406878043, 8632.350561934625]","[1513.7, 16.0, 741.7, 0.0]"
F48,92,Rebar Bar - Part 878712912-V45-3D Ortho,878712912,V45-3D Ortho,15.13,16.92,7.49,0.0,164685.4054968528,0.0,"[93147.33406878044, 7883.201306657298, 93164.24989148126, 7890.691814921004]","[15.1, 16.9, 7.5, 0.0]"
F2,93,Rebar Bar - Part 3681399347-V44-3D Ortho,3681399347,V44-3D Ortho,1513.69,16.0,741.66,0.0,165868.7763721494,-302.8607929026717,"[93574.54377105374, 7781.355788602252, 93590.54377105374, 8523.014535615952]","[1513.7, 16.0, 741.7, 0.0]"
F5,94,Rebar Bar - Part 878712912-431004-3D Ortho,878712912,431004-3D Ortho,14.39,16.82,7.2,0.0,165539.8249013993,-218.6720526373776,"[93574.54377105371, 7774.160717028926, 93591.36371878195, 7781.355788602258]","[14.4, 16.8, 7.2, 0.0]"
F2,95,Rebar Bar - Part 3681399347-V44-3D Ortho,3681399347,V44-3D Ortho,1513.69,16.0,741.66,0.0,166295.9860744226,-412.1968192213583,"[94001.75347332693, 7672.019762283566, 94017.75347332693, 8413.678509297264]","[1513.7, 16.0, 741.7, 0.0]"
F5,96,Rebar Bar - Part 878712912-431004-3D Ortho,878712912,431004-3D Ortho,14.39,16.82,7.2,0.0,165967.0346036726,-328.0080789560599,"[94001.75347332701, 7664.824690710244, 94018.57342105526, 7672.019762283576]","[14.4, 16.8, 7.2, 0.0]"
F44,97,Rebar Bar - Part 650701189-431004-3D Ortho,650701189,431004-3D Ortho,1760.81,16.0,865.22,0.0,164685.4054968528,0.0,"[94330.70494407773, 7587.831022018083, 94346.70494407775, 8453.050355145642]","[1760.8, 16.0, 865.2, 0.0]"
F5,98,Rebar Bar - Part 878712912-V46-3D Ortho,878712912,V46-3D Ortho,14.39,16.82,7.2,0.0,164685.4054968528,0.0,"[94330.70494407773, 7580.635950444755, 94347.52489180598, 7587.831022018092]","[14.4, 16.8, 7.2, 0.0]"
F2,99,Rebar Bar - Part 3681399347-V44-3D Ortho,3681399347,V44-3D Ortho,1513.69,16.0,741.66,0.0,167607.5198604016,-747.8584200197628,"[95313.28725930593, 7336.358161485161, 95329.28725930593, 8078.01690849886]","[1513.7, 16.0, 741.7, 0.0]"
F5,100,Rebar Bar - Part 878712912-431004-3D Ortho,878712912,431004-3D Ortho,14.39,16.82,7.2,0.0,167278.5683896515,-663.6696797544603,"[95313.28725930593, 7329.163089911844, 95330.10720703418, 7336.3581614851755]","[14.4, 16.8, 7.2, 0.0]"
F2,101,Rebar Bar - Part 3681399347-V47-3D Ortho,3681399347,V47-3D Ortho,1513.69,16.0,741.66,0.0,164685.4054968528,0.0,"[95620.87824494264, 7257.636222535711, 95636.87824494265, 7999.294969549411]","[1513.7, 16.0, 741.7, 0.0]"
F47,102,Rebar Bar - Part 878712912-V48-3D Ortho,878712912,V48-3D Ortho,13.99,16.82,7.06,0.0,164685.4054968528,0.0,"[95620.87824494265, 7250.573586917207, 95637.69819267088, 7257.636222535726]","[14.0, 16.8, 7.1, 0.0]"
