mark    dia    expected  found  status  instances
A2      T8            6      0  SHORT   1
B1      T8           15      0  SHORT   2
E       T10           2      3  OVER    1
G       T16           3     10  OVER    1
G1      T16           2     10  OVER    1
H       T20           1      1  OK      1
I       T16           1      4  OVER    1
J3      T16           1      4  OVER    1
J4      T16           1      4  OVER    1
