  bar reconstructed   official      gap      %
T6            1.02k      0.00k   +1.02k  extra
T8          176.49k    196.07k  -19.58k    90%
T10         196.36k    272.39k  -76.03k    72%
T12          15.52k     19.16k   -3.64k    81%
T16          40.76k    129.27k  -88.51k    32%
T20          56.19k     78.83k  -22.64k    71%
T25           0.00k     19.87k  -19.87k     0%
TOTAL       486.34k    715.59k -229.25k    68%
