Combined: PW-GF-11(R1), PW-GF-11(R2)
Official: PW-GF-11(S).dwg paper space

  bar reconstructed   official      gap      %
T6            1.02k      0.00k   +1.02k  extra
T8          169.01k    196.07k  -27.06k    86%
T10         203.31k    272.39k  -69.08k    75%
T12          19.45k     19.16k   +0.29k   101%
T16          50.93k    129.27k  -78.34k    39%
T20          63.79k     78.83k  -15.04k    81%
T25          19.62k     19.87k   -0.25k    99%
TOTAL       527.14k    715.59k -188.45k    74%
