mark    dia    expected  found  status  instances
A       T8            5      0  SHORT   2
A1      T8           26      0  SHORT   2
A2      T8           30      0  SHORT   2
A3      T8            9     44  OVER    2
A4      T8            7     64  OVER    2
B       T8           14     89  OVER    4
B1      T8           30      0  SHORT   1
B2      T8           26      0  SHORT   2
C       T8            6      0  SHORT   2
D       T8           20    244  OVER    3
E       T8           20    232  OVER    3
F       T12           1      0  SHORT   1
F1      T12           2      0  SHORT   2
I       T16           2      6  OVER    1
J       T16           3     26  OVER    1
J1      T16           2     26  OVER    1
J2      T16           2      4  OVER    2
J3      T16           2     17  OVER    2
L       T20           1      3  OVER    2
O       T20           1      3  OVER    1
P       T10           7      0  SHORT   2
Q       T16           1      5  OVER    1
Q2      T16           1      5  OVER    1
Q3      T16           1      5  OVER    1
