  bar reconstructed   official      gap      %
T8          132.41k    128.07k   +4.34k   103%
T10           5.49k     20.50k  -15.01k    27%
T12          48.24k     55.47k   -7.23k    87%
T16         104.99k    121.13k  -16.14k    87%
T20          48.56k     44.08k   +4.48k   110%
T25           3.12k      0.00k   +3.12k  extra
T32           2.98k      0.00k   +2.98k  extra
TOTAL       345.78k    369.25k  -23.47k    94%
